✅,COURS,CHAPITRE,IMPORTANCE
FALSE,Algèbre linéaire,Vecteurs et espaces vectoriels,Accessoire
FALSE,Algèbre linéaire,Matrices d'applications linéaires,Accessoire
FALSE,Algèbre linéaire,Changement de système de coordonnées,Accessoire
FALSE,Statistiques et probabilités,Séries statistiques à caractère qualitatif,Indispensable
FALSE,Statistiques et probabilités,Représentation et comparaison de données quantitatives,Indispensable
FALSE,Statistiques et probabilités,Résumer une série statistique à caractère quantitatif,Indispensable
FALSE,Statistiques et probabilités,Modélisation des distributions des données,Indispensable
FALSE,Statistiques et probabilités,"Probabilités de base (événements, conditionnelle, indépendance)",Important
,,"0,00%",
✅,COURS,CHAPITRE,IMPORTANCE
TRUE,Bases,"Variables, types de données, listes, dictionnaires, tuples",Indispensable
TRUE,Bases,"Boucles, conditions, fonctions, lambda",Indispensable
FALSE,Bases,Gestion des erreurs (try/except),Indispensable
,Bases,Modules et packages,Indispensable
TRUE,Bases,Gestion d'environnements virtuels (venv),Indispensable
TRUE,Bases,"Exercice : Créer un projet venv propre et installer les packages dont tu auras besoin plus tard (numpy, pandas, matplotlib, seaborn, jupyter).",Indispensable
TRUE,NumPy,Création et manipulation de tableaux (arrays),Important
FALSE,NumPy,"Opérations vectorielles (addition, multiplication, broadcasting)",Important
FALSE,NumPy,"Indexation, slicing, reshaping",Important
FALSE,NumPy,"Fonctions mathématiques (mean, std, sum, etc.)",Important
FALSE,NumPy,Lecture/écriture de fichiers .npy,Accessoire
FALSE,NumPy,"Exercice : Prendre un fichier CSV, le charger avec NumPy, calculer des statistiques simples (moyenne, écart-type, corrélations) sans utiliser Pandas.",Important
FALSE,Pandas,Création de DataFrames et Series,Indispensable
FALSE,Pandas,"Lecture/écriture de fichiers (CSV, JSON, Excel, SQL)",Indispensable
FALSE,Pandas,"Nettoyage de données (missing values, duplicates, types)",Indispensable
FALSE,Pandas,"Sélection et filtrage (loc, iloc, query)",Indispensable
FALSE,Pandas,GroupBy et agrégations,Indispensable
FALSE,Pandas,Merge / Join de DataFrames,Indispensable
FALSE,Pandas,"Transformation de données (apply, map, replace)",Important
FALSE,Pandas,Gestion des dates (datetime),Important
FALSE,Pandas,"Exercices : Charger un gros dataset Kaggle (ex. Titanic ou House Prices), nettoyer complètement les données, faire 10 analyses différentes (group by, pivot, etc.)",Indispensable
FALSE,Visualisation,"Matplotlib : bases (figures, subplots, styles)",Indispensable
FALSE,Visualisation,"Seaborn : graphiques statistiques élégants (boxplot, heatmap, pairplot, etc.)",Indispensable
FALSE,Visualisation,Plotly (optionnel mais très bien vu) : graphiques interactifs,Accessoire
FALSE,Visualisation,"Exercice obligatoire : À partir du même dataset que Pandas, créer : 1 histogramme + boxplot, 1 heatmap de corrélations.",Indispensable
,,"20,00%",
✅,COURS,CHAPITRE,IMPORTANCE
,Bases,"SELECT, WHERE, ORDER BY, LIMIT/OFFSET",Indispensable
FALSE,Bases,"JOIN (INNER, LEFT, RIGHT, FULL, CROSS)",Indispensable
FALSE,Bases,GROUP BY + HAVING,Indispensable
,Bases,"Agrégations classiques (COUNT, SUM, AVG, MIN, MAX)",Indispensable
,Bases,Sous-requêtes simples,Important
,Bases,Exercices : Résoudre au moins 30 exercices sur PGExercises ou HackerRank. Refaire 5-6 requêtes existantes en les rendant plus propres et optimisées.,Indispensable
FALSE,"Window functions, CTE, optimisation, index","Window functions : ROW_NUMBER(), RANK(), DENSE_RANK(), LAG(), LEAD(), SUM()/AVG()/COUNT() OVER(), PARTITION BY, ORDER BY dans la fenêtre",Important
FALSE,"Window functions, CTE, optimisation, index","CTE (Common Table Expressions) : WITH … AS, CTE récursives (basiques)",Important
FALSE,"Window functions, CTE, optimisation, index","Optimisation : EXPLAIN, EXPLAIN ANALYZE, utilisation d'index, query planning",Accessoire
FALSE,"Window functions, CTE, optimisation, index","Index : Création (B-tree, Hash), quand et pourquoi les utiliser, impact sur les performances",Accessoire
FALSE,"Window functions, CTE, optimisation, index","Exercice : Running total, RANK/DENSE_RANK, LAG/LEAD, 2-3 CTE. (EXPLAIN ANALYZE + index : skip)",Important
,,"0,00%",
✅,COURS,CHAPITRE,IMPORTANCE
,PostgreSQL,"Relations & contraintes — Clés primaires / étrangères, contraintes (NOT NULL, UNIQUE, CHECK, DEFAULT), types de cardinalités (1:1, 1:N, N:N)",Indispensable
FALSE,PostgreSQL,"Normalisation (1NF, 2NF, 3NF)",Important
